Name,Headgroup Atom,Headgroup Atom Index,Tailgroup Atom,Tailgroup Atom Index,HG/TG distance,Experimental Density,Smiles String
MC3,N1x,43,C37x,36,26.949608461497743,,CCCCC\C=C/C\C=C/CCCCCCCCC(CCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCN(C)C
CHOL,O1x,31,C7x,7,17.182765911806186,,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
PEG2000_C_DMG,C28x,36,C42x,52,41.16055240597792,,CCCCCCCCCCCCCC(=O)OCC(COC(=O)NCCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC
DPPC,N1x,10,C40x,50,29.108963950763258,,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DMPC,N1x,10,C36x,46,27.83725187313547,,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCC)=O
DLPC,N1x,10,C32x,42,25.60288131026885,,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O
POPC,N1x,10,C25x,33,31.31533913218146,,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DOPC,N1x,10,C44x,54,32.346986777331544,,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
POPE,N1x,10,C22x,30,31.837282792388763,,[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DLPA,P1x,4,C14x,21,19.73361110449437,,[C@](COP(=O)(O)O)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O
DOPG,O1x,3,C23x,31,31.221681189129747,,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)[O-]
